;dischargeID;maxNumberOfFailureIndicators;numberOfFailedPlunges;configuration;campaign
421;20250409.030;0;0;DBM000+2520;OP23
420;20250409.029;0;0;DBM000+2520;OP23
419;20250409.028;0;0;DBM000+2520;OP23
417;20250409.026;0;0;DBM000+2520;OP23
416;20250409.025;0;0;DBM000+2520;OP23
415;20250409.024;0;0;DBM000+2520;OP23
414;20250409.023;0;0;DBM000+2520;OP23
413;20250409.022;0;0;DBM000+2520;OP23
412;20250409.021;0;0;DBM000+2520;OP23
411;20250409.018;0;0;DBM000+2520;OP23
410;20250409.017;0;0;DBM000+2520;OP23
409;20250409.016;0;0;DBM000+2520;OP23
408;20250409.015;0;0;ECM003+2520;OP23
407;20250409.012;0;0;ECM003+2520;OP23
406;20250409.011;0;0;ECM003+2520;OP23
405;20250409.009;0;0;ECM003+2520;OP23
404;20250409.008;0;0;ECM003+2520;OP23
403;20250409.007;0;0;ECM003+2520;OP23
402;20250408.035;0;0;DAM005+1800;OP23
399;20250402.094;0;0;KJM008+2620;OP23
398;20250402.065;0;0;KJM008+2520;OP23
397;20250402.060;0;0;KJM008+2520;OP23
372;20250401.049;0;0;DBM000+2520;OP23
371;20250401.045;0;0;DBM000+2520;OP23
367;20250401.037;0;0;EIM000+2614;OP23
366;20250401.036;0;0;EIM000+2614;OP23
365;20250401.035;0;0;EIM000+2614;OP23
364;20250401.030;0;0;EIM000+2614;OP23
362;20250401.025;0;0;EIM000+2614;OP23
360;20250327.065;0;0;EIM000-1800;OP23
359;20250327.029;0;0;FTM000-2620;OP23
358;20250327.025;0;0;FTM000-2620;OP23
357;20250327.020;0;0;FTM000-2620;OP23
356;20250327.018;0;0;FTM000-2620;OP23
355;20250326.111;0;0;KJM008-2620;OP23
354;20250326.108;0;0;KJM008-2620;OP23
353;20250326.107;0;0;KJM008-2520;OP23
352;20250326.104;0;0;KJM008-2520;OP23
351;20250326.103;0;0;KJM008-2520;OP23
350;20250320.029;0;0;KKM009-2600;OP23
349;20250320.022;0;0;KKM009-2600;OP23
348;20250320.019;0;0;KKM009-2600;OP23
347;20250320.009;0;0;KKM009-2600;OP23
345;20250319.048;0;0;KJM008-2620;OP23
344;20250319.046;0;0;KJM008-2620;OP23
343;20250319.043;0;0;KJM008-2620;OP23
342;20250319.037;0;0;KJM008-2620;OP23
341;20250319.035;0;0;KJM008-2620;OP23
340;20250319.028;0;0;KJM008-2620;OP23
339;20250319.026;0;0;KJM008-2620;OP23
338;20250319.025;0;0;KJM008-2620;OP23
337;20250319.024;0;0;KJM008-2620;OP23
336;20250318.070;0;0;EIM000-1800;OP23
335;20250318.067;0;0;EIM000-1800;OP23
332;20250318.060;0;0;EIM000-1800;OP23
331;20250318.059;0;0;EIM000-1800;OP23
330;20250313.081;0;0;EIM000-2620;OP23
329;20250313.076;0;0;EIM000-2620;OP23
328;20250313.074;0;0;EIM000-2620;OP23
327;20250313.046;0;0;EIM000-2620;OP23
326;20250313.044;0;0;EIM000-2620;OP23
325;20250313.031;0;0;EIM000-2620;OP23
324;20250313.027;0;0;EIM000-2620;OP23
323;20250313.025;0;0;EIM000-2620;OP23
322;20250313.022;0;0;EIM000-2620;OP23
321;20250312.068;0;0;KJM008-2520;OP23
320;20250312.067;0;0;KJM008-2520;OP23
319;20250312.063;0;0;KJM008-2520;OP23
318;20250312.061;0;0;KJM008-2620;OP23
317;20250312.060;0;0;KJM008-2520;OP23
316;20250312.058;0;0;KJM008-2620;OP23
315;20250312.057;0;0;KJM008-2620;OP23
314;20250312.056;0;0;KJM008-2520;OP23
313;20250312.055;0;0;KJM008-2520;OP23
312;20250312.054;0;0;KJM008-2620;OP23
311;20250312.051;0;0;KJM008-2520;OP23
310;20250312.050;0;0;KJM008-2520;OP23
309;20250312.049;0;0;KJM008-2520;OP23
308;20250312.048;0;0;KJM008-2620;OP23
307;20250312.046;0;0;KJM008-2520;OP23
306;20250312.042;0;0;KJM008-2520;OP23
305;20250312.039;0;0;KJM008-2520;OP23
304;20250312.033;0;0;KJM008-2520;OP23
303;20250312.032;0;0;KJM008-2520;OP23
302;20250312.020;0;0;KJM008-2520;OP23
